age,genre,revenu_mensuel,statut_marital,departement,poste,nombre_experiences_precedentes,annee_experience_totale,annees_dans_l_entreprise,annees_dans_le_poste_actuel,nombre_participation_pee,nb_formations_suivies,distance_domicile_travail,niveau_education,domaine_etude,frequence_deplacement,annees_depuis_la_derniere_promotion,annes_sous_responsable_actuel,satisfaction_employee_environnement,note_evaluation_precedente,niveau_hierarchique_poste,satisfaction_employee_nature_travail,satisfaction_employee_equipe,satisfaction_employee_equilibre_pro_perso,note_evaluation_actuelle,heure_supplementaires,augementation_salaire_precedente,montant_augmentation_precedente,ratio_anciennete_carriere,inertie_poste,stagnation_promotion,revenu_par_annee_experience,revenu_par_niveau,satisfaction_globale,satisfaction_min,delta_performance,hs_et_salaire_bas,jeune_faible_anciennete,trajet_long,job_hopper
41,F,5993,Célibataire,Commercial,Cadre Commercial,8,8,6,4,0,0,1,2,Infra & Cloud,Occasionnel,0,5,2,3,2,4,1,1,3,Oui,11.0,594,0.75,0.667,0.0,665.89,2996.49,2.0,1,0,0,0,0,1
49,M,5130,Marié(e),Consulting,Assistant de Direction,1,10,10,7,1,3,8,1,Infra & Cloud,Frequent,1,7,3,2,2,2,4,3,4,Non,23.0,959,1.0,0.7,0.1,466.36,2564.99,3.0,2,2,0,0,0,0
37,M,2090,Célibataire,Consulting,Consultant,6,7,0,0,0,3,2,2,Autre,Occasionnel,0,0,4,2,1,3,2,3,3,Oui,15.0,273,0.0,0.0,0.0,261.25,2089.98,3.0,2,1,1,0,0,1
33,F,2909,Marié(e),Consulting,Assistant de Direction,1,8,8,7,0,3,3,4,Infra & Cloud,Frequent,3,0,4,3,1,3,3,3,3,Oui,11.0,288,1.0,0.875,0.375,323.22,2908.97,3.25,3,0,1,0,0,0
27,M,3468,Marié(e),Consulting,Consultant,9,6,2,2,1,3,2,1,Transformation Digitale,Occasionnel,2,2,1,3,1,2,4,3,3,Non,12.0,372,0.333,1.0,1.0,495.43,3467.97,2.5,1,0,0,1,0,1
32,M,3068,Célibataire,Consulting,Consultant,0,8,7,7,0,2,2,2,Infra & Cloud,Frequent,3,6,4,3,1,4,3,2,3,Non,13.0,353,0.875,1.0,0.429,340.89,3067.97,3.25,2,0,0,0,0,0
59,F,2670,Marié(e),Consulting,Consultant,4,12,1,0,3,3,3,3,Transformation Digitale,Occasionnel,0,0,3,4,1,1,1,2,4,Oui,20.0,445,0.083,0.0,0.0,205.38,2669.97,1.75,1,0,1,0,0,0
30,M,2693,Divorcé(e),Consulting,Consultant,1,1,1,0,1,2,24,1,Infra & Cloud,Occasionnel,0,0,4,3,1,3,2,3,4,Non,22.0,486,1.0,0.0,0.0,1346.5,2692.97,3.0,2,1,0,1,1,0
38,M,9526,Célibataire,Consulting,Tech Lead,0,10,9,7,0,2,23,3,Infra & Cloud,Frequent,1,8,4,2,3,3,2,3,4,Non,21.0,1653,0.9,0.778,0.111,866.0,3175.32,3.0,2,2,0,0,1,0
36,M,5237,Marié(e),Consulting,Manager,6,17,7,7,2,3,27,3,Transformation Digitale,Occasionnel,7,7,3,3,2,3,2,2,3,Non,13.0,602,0.412,1.0,1.0,290.94,2618.49,2.5,2,0,0,0,1,1
35,M,2426,Marié(e),Consulting,Consultant,0,6,5,4,1,5,16,3,Transformation Digitale,Occasionnel,0,3,1,4,1,2,3,3,3,Non,13.0,279,0.833,0.8,0.0,346.57,2425.98,2.25,1,-1,0,0,1,0
29,F,4193,Célibataire,Consulting,Consultant,0,10,9,5,0,3,15,2,Infra & Cloud,Occasionnel,0,8,4,2,2,3,4,3,3,Oui,12.0,449,0.9,0.556,0.0,381.18,2096.49,3.5,3,1,1,0,1,0
31,M,2911,Divorcé(e),Consulting,Assistant de Direction,1,5,5,2,1,1,26,1,Infra & Cloud,Occasionnel,4,3,1,3,1,3,4,2,3,Non,17.0,423,1.0,0.4,0.8,485.17,2910.97,2.5,1,0,0,0,1,0
34,M,2661,Divorcé(e),Consulting,Consultant,0,3,2,2,1,2,19,2,Transformation Digitale,Occasionnel,1,2,2,3,1,4,3,3,3,Non,11.0,264,0.667,1.0,0.5,665.25,2660.97,3.0,2,0,0,0,1,0
28,M,2028,Célibataire,Consulting,Consultant,5,6,4,2,0,4,24,3,Infra & Cloud,Occasionnel,0,3,3,2,1,3,2,3,3,Oui,14.000000000000002,249,0.667,0.5,0.0,289.71,2027.98,2.75,2,1,1,0,1,1
29,F,9980,Divorcé(e),Consulting,Tech Lead,1,10,10,9,1,1,21,4,Infra & Cloud,Occasionnel,8,8,2,4,3,1,3,3,3,Non,11.0,989,1.0,0.9,0.8,907.27,3326.66,2.25,1,-1,0,0,1,0
32,M,3298,Divorcé(e),Consulting,Assistant de Direction,0,7,6,2,2,5,5,2,Infra & Cloud,Occasionnel,0,5,1,4,1,2,4,2,3,Oui,12.0,353,0.857,0.333,0.0,412.25,3297.97,2.25,1,-1,1,0,0,0
22,M,2935,Divorcé(e),Consulting,Consultant,1,1,1,0,2,2,16,2,Transformation Digitale,Aucun,0,0,4,4,1,4,2,2,3,Oui,13.0,338,1.0,0.0,0.0,1467.5,2934.97,3.0,2,-1,1,1,1,0
53,F,15427,Marié(e),Commercial,Senior Manager,2,31,25,8,0,3,2,4,Infra & Cloud,Occasionnel,3,7,1,2,4,4,3,3,3,Non,16.0,2128,0.806,0.32,0.12,482.09,3856.74,2.75,1,1,0,0,0,0
38,M,3944,Célibataire,Consulting,Assistant de Direction,5,6,3,2,0,3,2,3,Infra & Cloud,Occasionnel,1,2,4,3,1,4,3,3,3,Oui,11.0,391,0.5,0.667,0.333,563.43,3943.96,3.5,3,0,1,0,0,1
24,F,4011,Divorcé(e),Consulting,Tech Lead,0,5,4,2,1,5,11,2,Autre,Aucun,1,3,1,4,2,3,4,2,3,Non,18.0,612,0.8,0.5,0.25,668.5,2005.49,2.5,1,-1,0,0,0,0
36,M,3407,Célibataire,Commercial,Représentant Commercial,7,10,5,3,0,4,9,4,Infra & Cloud,Occasionnel,0,3,3,2,1,1,2,3,4,Non,23.0,637,0.5,0.6,0.0,309.73,3406.97,2.25,1,2,0,0,0,1
34,F,11994,Célibataire,Consulting,Directeur Technique,0,13,12,6,0,4,7,4,Infra & Cloud,Occasionnel,2,11,1,3,3,2,3,3,3,Non,11.0,1189,0.923,0.5,0.167,856.71,3997.99,2.25,1,0,0,0,0,0
21,M,1232,Célibataire,Consulting,Assistant de Direction,1,0,0,0,0,6,15,2,Infra & Cloud,Occasionnel,0,0,3,3,1,4,4,3,3,Non,14.000000000000002,151,0.0,0.0,0.0,1232.0,1231.99,3.5,3,0,0,1,1,0
34,M,2960,Célibataire,Consulting,Assistant de Direction,2,8,4,2,0,2,6,1,Transformation Digitale,Occasionnel,1,3,2,3,1,1,3,3,3,Non,11.0,293,0.5,0.5,0.25,328.89,2959.97,2.25,1,0,0,0,0,0
53,F,19094,Divorcé(e),Consulting,Senior Manager,4,26,14,13,1,3,5,3,Autre,Occasionnel,4,8,3,3,5,3,4,2,3,Non,11.0,1892,0.538,0.929,0.286,707.19,3818.79,3.0,2,0,0,0,0,0
32,F,3919,Célibataire,Consulting,Assistant de Direction,1,10,10,2,0,5,16,1,Infra & Cloud,Frequent,6,7,2,1,1,1,2,3,4,Oui,22.0,707,1.0,0.2,0.6,356.27,3918.96,2.0,1,3,1,0,1,0
42,M,6825,Marié(e),Commercial,Cadre Commercial,0,10,9,7,1,2,8,4,Marketing,Occasionnel,4,2,3,3,2,2,4,3,3,Non,11.0,676,0.9,0.778,0.444,620.45,3412.48,3.0,2,0,0,0,0,0
44,F,10248,Marié(e),Consulting,Manager,3,24,22,6,1,4,7,4,Transformation Digitale,Occasionnel,5,17,1,2,3,4,4,3,3,Non,14.000000000000002,1259,0.917,0.273,0.227,409.92,3415.99,3.0,1,1,0,0,0,0
46,F,18947,Célibataire,Commercial,Senior Manager,3,22,2,2,0,2,2,4,Marketing,Occasionnel,2,1,2,3,5,1,4,2,3,Non,12.0,2030,0.091,1.0,1.0,823.78,3789.39,2.25,1,0,0,0,0,0
33,M,2496,Célibataire,Consulting,Consultant,4,7,1,1,0,3,2,3,Transformation Digitale,Occasionnel,0,0,3,3,1,4,4,3,3,Non,11.0,247,0.143,1.0,0.0,312.0,2495.98,3.5,3,0,0,0,0,0
44,M,6465,Marié(e),Consulting,Manager,2,9,4,2,0,5,10,4,Autre,Occasionnel,1,3,4,3,2,4,4,4,3,Oui,13.0,744,0.444,0.5,0.25,646.5,3232.48,4.0,4,0,0,0,0,0
30,M,2206,Célibataire,Consulting,Consultant,1,10,10,0,0,5,9,2,Transformation Digitale,Occasionnel,1,8,4,2,1,3,1,3,3,Non,13.0,254,1.0,0.0,0.1,200.55,2205.98,2.75,1,1,0,0,0,0
39,M,2086,Marié(e),Commercial,Représentant Commercial,3,19,1,0,1,6,5,3,Entrepreunariat,Occasionnel,0,0,4,3,2,4,3,4,3,Non,14.000000000000002,256,0.053,0.0,0.0,104.3,1042.99,3.75,3,0,0,0,0,0
24,M,2293,Marié(e),Consulting,Assistant de Direction,2,6,2,0,1,2,1,3,Transformation Digitale,Occasionnel,2,0,2,3,1,4,1,2,3,Oui,16.0,316,0.333,0.0,1.0,327.57,2292.98,2.25,1,0,1,1,0,0
