age,genre,revenu_mensuel,statut_marital,departement,poste,nombre_experiences_precedentes,annee_experience_totale,annees_dans_l_entreprise,annees_dans_le_poste_actuel,nombre_participation_pee,nb_formations_suivies,distance_domicile_travail,niveau_education,domaine_etude,frequence_deplacement,annees_depuis_la_derniere_promotion,annes_sous_responsable_actuel,satisfaction_employee_environnement,note_evaluation_precedente,niveau_hierarchique_poste,satisfaction_employee_nature_travail,satisfaction_employee_equipe,satisfaction_employee_equilibre_pro_perso,note_evaluation_actuelle,heure_supplementaires,augementation_salaire_precedente,montant_augmentation_precedente,inertie_poste,revenu_par_niveau,satisfaction_globale,satisfaction_min,satisfaction_max,performance,hs_et_salaire_bas,jeune_faible_anciennete,serial-worker,poste_x_niveau,formations_par_an,part_sans_promotion
41,F,5993,Célibataire,Commercial,Cadre Commercial,8,8,6,4,0,0,1,2,Infra & Cloud,Occasionnel,0,5,2,3,2,4,1,1,3,Oui,11.0,594,0.667,2996.49,2.0,1,4,0,0,0,1,Cadre Commercial | N2,0.0,0.0
49,M,5130,Marié(e),Consulting,Assistant de Direction,1,10,10,7,1,3,8,1,Infra & Cloud,Frequent,1,7,3,2,2,2,4,3,4,Non,23.0,959,0.7,2564.99,3.0,2,4,2,0,0,0,Assistant de Direction | N2,0.273,0.1
37,M,2090,Célibataire,Consulting,Consultant,6,7,0,0,0,3,2,2,Autre,Occasionnel,0,0,4,2,1,3,2,3,3,Oui,15.0,273,0.0,2089.98,3.0,2,4,1,1,0,1,Consultant | N1,3.0,0.0
33,F,2909,Marié(e),Consulting,Assistant de Direction,1,8,8,7,0,3,3,4,Infra & Cloud,Frequent,3,0,4,3,1,3,3,3,3,Oui,11.0,288,0.875,2908.97,3.25,3,4,0,1,0,0,Assistant de Direction | N1,0.333,0.375
27,M,3468,Marié(e),Consulting,Consultant,9,6,2,2,1,3,2,1,Transformation Digitale,Occasionnel,2,2,1,3,1,2,4,3,3,Non,12.0,372,1.0,3467.97,2.5,1,4,0,0,1,1,Consultant | N1,1.0,1.0
32,M,3068,Célibataire,Consulting,Consultant,0,8,7,7,0,2,2,2,Infra & Cloud,Frequent,3,6,4,3,1,4,3,2,3,Non,13.0,353,1.0,3067.97,3.25,2,4,0,0,0,0,Consultant | N1,0.25,0.429
59,F,2670,Marié(e),Consulting,Consultant,4,12,1,0,3,3,3,3,Transformation Digitale,Occasionnel,0,0,3,4,1,1,1,2,4,Oui,20.0,445,0.0,2669.97,1.75,1,3,0,1,0,0,Consultant | N1,1.5,0.0
30,M,2693,Divorcé(e),Consulting,Consultant,1,1,1,0,1,2,24,1,Infra & Cloud,Occasionnel,0,0,4,3,1,3,2,3,4,Non,22.0,486,0.0,2692.97,3.0,2,4,1,0,1,0,Consultant | N1,1.0,0.0
38,M,9526,Célibataire,Consulting,Tech Lead,0,10,9,7,0,2,23,3,Infra & Cloud,Frequent,1,8,4,2,3,3,2,3,4,Non,21.0,1653,0.778,3175.32,3.0,2,4,2,0,0,0,Tech Lead | N3,0.2,0.111
36,M,5237,Marié(e),Consulting,Manager,6,17,7,7,2,3,27,3,Transformation Digitale,Occasionnel,7,7,3,3,2,3,2,2,3,Non,13.0,602,1.0,2618.49,2.5,2,3,0,0,0,1,Manager | N2,0.375,1.0
